filename,kappa,c,logL,detector,duration,sample_rate,filepath
H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5,0.0,0.0,-576272.5616340355,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5
H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5,0.0,0.75,-576272.5616340355,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5
H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5,1.0,0.0,-127945.0885328567,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5
H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5,1.0,0.75,-127383.12767020868,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5,0.0,0.0,-576648.1944537977,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5,0.0,0.75,-576648.1944537977,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5,1.0,0.0,-127892.52324349464,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5,1.0,0.75,-127335.2639411158,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5,0.0,0.0,-576141.047738577,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5,0.0,0.75,-576141.047738577,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5,1.0,0.0,-127963.9010028221,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5,1.0,0.75,-127400.51428230414,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5
H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5,0.0,0.0,-576134.6588926915,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5
H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5,0.0,0.75,-576134.6588926915,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5
H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5,1.0,0.0,-127964.19876174378,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5
H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5,1.0,0.75,-127400.40946291568,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5
H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,0.0,0.0,-576843.4651683277,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,0.0,0.75,-576843.4651683277,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,1.0,0.0,-127797.03624475698,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,1.0,0.75,-127229.93436082688,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5
